Category,Subcategory,Total Ads,Total Visits,Total Page Views,Total impressions,CPC,RPM,Revenue
Agriculture,Fertilizantes,0,,,,,,
,Maquinarias,0,,,,,,
,Semillas,0,,,,,,
,Tractores - Compra y Venta,0,,,,,,
,Otras Servicios de Agriculture,0,,,,,,
,Chevrolet,0,,,,,,
Autos y Trucks,Chrysler,,,,,,,
,Dodge,,,,,,,
,Ford,,,,,,,
,Honda,,,,,,,
,Hyundai,,,,,,,
,Isuzu,,,,,,,
,Mazda,,,,,,,
,Mercury,,,,,,,
,Mitsubishi,,,,,,,
,Nissan,,,,,,,
,Pontiac,,,,,,,
,Toyota,,,,,,,
,Otros Autos,,,,,,,
,Dealers de Autos,,,,,,,
,Subastas de Autos,,,,,,,
,Acura,,,,,,,
,Audi,,,,,,,
,BMW,,,,,,,
,Buick,,,,,,,
,Cadillac,,,,,,,
,Donaciones de Autos,,,,,,,
,GMC,,,,,,,
,Infiniti,,,,,,,
,Jaguar,,,,,,,
,Jeep,,,,,,,
,Kia,,,,,,,
,Land Rover,,,,,,,
,Lexus,,,,,,,
,Lincoln,,,,,,,
,Mercedes-Benz,,,,,,,
,Mini,,,,,,,
,Motorhome-RV's,,,,,,,
,Oldsmobile,,,,,,,
,Plymouth,,,,,,,
,Saturn,,,,,,,
,Scion,,,,,,,
,Subaru,,,,,,,
,Suzuki,,,,,,,
,Volkswagen,,,,,,,
,Volvo,,,,,,,
,Chevrolet Dealer,,,,,,,
,Chrysler Dealer,,,,,,,
,Dodge Dealer,,,,,,,
,Ford Dealer,,,,,,,
,Honda Dealer,,,,,,,
,Hyundai Dealer,,,,,,,
,Isuzu Dealer,,,,,,,
,Mazda Dealer,,,,,,,
,Mercury Dealer,,,,,,,
,Mitsubishi Dealer,,,,,,,
,Nissan Dealer,,,,,,,
,Pontiac Dealer,,,,,,,
,Toyota Dealer,,,,,,,
,Otros Autos Dealer,,,,,,,
,Acura Dealer,,,,,,,
,Audi Dealer,,,,,,,
,BMW Dealer,,,,,,,
,Buick Dealer,,,,,,,
,Cadillac Dealer,,,,,,,
,GMC Dealer,,,,,,,
,Infiniti Dealer,,,,,,,
,Jaguar Dealer,,,,,,,
,Jeep Dealer,,,,,,,
,Kia Dealer,,,,,,,
,Land Rover Dealer,,,,,,,
,Lexus Dealer,,,,,,,
,Lincoln Dealer,,,,,,,
,Mercedes-Benz Dealer,,,,,,,
,Mini Dealer,,,,,,,
,Motorhome-RV's Dealer,,,,,,,
,Oldsmobile Dealer,,,,,,,
,Plymouth Dealer,,,,,,,
,Saturn Dealer,,,,,,,
,Scion Dealer,,,,,,,
,Subaru Dealer,,,,,,,
,Suzuki Dealer,,,,,,,
,Volkswagen Dealer,,,,,,,
,Volvo Dealer,,,,,,,
,Otros Servicios de Belleza,,,,,,,
Belleza,Cirugia Láser,,,,,,,
,Cirugia Plástica,,,,,,,
,Fotos de Glamour,,,,,,,
,Inyecciones Cosméticas,,,,,,,
,Manicure y Pedicure,,,,,,,
,Productos de Belleza,,,,,,,
,Productos Para Bajar de Peso,,,,,,,
,Salones de Belleza,,,,,,,
,Spas y Faciales,,,,,,,
,Maquillaje Permanente,,,,,,,
,Renta de Estaciones,,,,,,,
,Uñas Acrílicas,,,,,,,
,Venta de Apartamentos,,,,,,,
Casas de Venta,Venta de Casas,,,,,,,
,Venta de Casas Moviles,,,,,,,
,Venta de Town House o Condominios,,,,,,,
,Venta de Terrenos,,,,,,,
,Tasadores de Casa,,,,,,,
,Inspectores de Casas,,,,,,,
,Servicio de Termitas,,,,,,,
,Agentes,,,,,,,
,Casas en Foreclosure,,,,,,,
,Open House,,,,,,,
,Ventas Comerciales,,,,,,,
,Ventas de Garaje,,,,,,,
Compra y Venta General,Liquidaciones,,,,,,,
,Mercancia en venta,,,,,,,
,Accesorios,,,,,,,
,Artículos Deportivos,,,,,,,
,Boletos para Eventos,,,,,,,
,Casas de Empeño,,,,,,,
,Colchones,,,,,,,
,Electrodomésticos,,,,,,,
,Fórmula de Bebe,,,,,,,
,Joyas,,,,,,,
,Mayoreo,,,,,,,
,Muebles de Casa,,,,,,,
,Muebles de Oficina,,,,,,,
,Muebles de Patio,,,,,,,
,Muebles para Niños,,,,,,,
,Ropa,,,,,,,
,Compro Oro,,,,,,,
,Cosas Gratis o Intercambio,,,,,,,
,Carniceria,,,,,,,
,Panaderia y Pasteles,,,,,,,
,Licorerias,,,,,,,
,Tiendas de Segundo Mano,,,,,,,
,Tiendas de Descuento,,,,,,,
,Tiendas de Ropa,,,,,,,
,Tiendas de Zapatos,,,,,,,
,Supermercados,,,,,,,
,Eventos Comunitarios,,,,,,,
Comunidad,Eventos Culturales,,,,,,,
,Eventos de Negocios,,,,,,,
,Eventos Deportivos,,,,,,,
,Eventos Educativos,,,,,,,
,Eventos Musicales,,,,,,,
,Otros Eventos,,,,,,,
,Consejos Espirituales,,,,,,,
Consejos Espirituales,Bautizos,,,,,,,
Dedicatorias,Bodas,,,,,,,
,Cumpleaños,,,,,,,
,Graduaciones,,,,,,,
,Obituarios,,,,,,,
,Ocasiones Especiales,,,,,,,
,Primera Comunión,,,,,,,
,Quinceañeras,,,,,,,
,Dentistas Generales,,,,,,,
Dentistas,Blanqueo de Dientes,,,,,,,
,Dentistas para Niños,,,,,,,
,Ortodoncia,,,,,,,
,Otras Clases y Cursos,,,,,,,
"Educación, Cursos y Clases",Baile,,,,,,,
,Biblia,,,,,,,
,Bienes Raíces,,,,,,,
,Computación,,,,,,,
,Cosmetología,,,,,,,
,Income tax,,,,,,,
,Inglés y ESL,,,,,,,
,Manejo,,,,,,,
,Clases de Masaje,,,,,,,
,Modelaje y Acutación,,,,,,,
,Notary Public,,,,,,,
,Clases por Internet,,,,,,,
,Community Colleges,,,,,,,
,Escuelas de Tráfico,,,,,,,
,Escuelas Técnicas,,,,,,,
,High School GED,,,,,,,
,Truck Driving School,,,,,,,
,Universidades,,,,,,,
,Career Colleges,,,,,,,
,Fotografía y Video,,,,,,,
,Clases de Cocina,,,,,,,
,Bodegas y Warehouse,,,,,,,
Empleos,Cuidado de Niños,,,,,,,
,Choferes y Troqueros,,,,,,,
,Meseros y Cocineros,,,,,,,
,Limpieza,,,,,,,
,Independientes,,,,,,,
,Oficina,,,,,,,
,Vendedores,,,,,,,
,Otros empleos,,,,,,,
,Barberos y Cosmetólogas,,,,,,,
,Busco Empleo,,,,,,,
,Enfermería,,,,,,,
,Bartenders,,,,,,,
,Bio-Tech y Ciencias,,,,,,,
,Carpinteros y Construcción,,,,,,,
,Costura,,,,,,,
,Diseño Gráfico,,,,,,,
,Electricistas,,,,,,,
,Escritores,,,,,,,
,Guardias,,,,,,,
,Internet,,,,,,,
,Mecánica de Autos,,,,,,,
,Paralegal,,,,,,,
,Plomeros,,,,,,,
,Soldadores,,,,,,,
,Técnicos de Teléfonos,,,,,,,
,Computación,,,,,,,
,Hoteles,,,,,,,
,Telemercadeo,,,,,,,
,Actuación y Músicos,,,,,,,
,Fábricas,,,,,,,
,Marketing y Relaciones Públicas,,,,,,,
,Asistentes Médicos,,,,,,,
,Gerentes y Supervisores,,,,,,,
,Cajeros,,,,,,,
,Jumpers,,,,,,,
"Fiestas, Quinceañeras y Bodas",Fotos y Videos,,,,,,,
,Comida,,,,,,,
,Decoraciones,,,,,,,
,Entretenimiento,,,,,,,
,Salones de Fiestas,,,,,,,
,Otros Servicios de Fiestas,,,,,,,
,Accesorios para Fiestas,,,,,,,
,Bartenders,,,,,,,
,Florerías,,,,,,,
,Limosinas,,,,,,,
,Pastelerías,,,,,,,
,Payasos,,,,,,,
,Peinados y Maquillaje,,,,,,,
,Vals y Bailes,,,,,,,
,Vestidos y Tux,,,,,,,
,Baños Portátiles,,,,,,,
,Invitaciones,,,,,,,
,Recuerdos,,,,,,,
,Servicios Religiosos y Capillas,,,,,,,
,"Lanchas, Botes y Partes",,,,,,,
"Lanchas, Botes y Partes",Jetskis,,,,,,,
,Accesorios para Animales,,,,,,,
Mascotas,Adopción de Animales,,,,,,,
,Caballos,,,,,,,
,Cuidado de Animales,,,,,,,
,Gatos,,,,,,,
,Otros Animales,,,,,,,
,Pájaros y otras Aves,,,,,,,
,Peces,,,,,,,
,Perros,,,,,,,
,Reptiles,,,,,,,
,Tiendas de Animales,,,,,,,
,Veterinarios,,,,,,,
,Otros Servicios de Animales,,,,,,,
,Ganado,,,,,,,
,BMW,,,,,,,
Motocicletas y Partes,Ducati,,,,,,,
,Harley-Davidson,,,,,,,
,Honda,,,,,,,
,Kawasaki,,,,,,,
,Suzuki,,,,,,,
,Otras Motocicletas,,,,,,,
,Partes y Accesorios,,,,,,,
,Yamaha,,,,,,,
,DJs,,,,,,,
Música para Fiestas,"Banda, Conjunto y Grupos",,,,,,,
,Mariachis y Tríos,,,,,,,
,Tamborazo y Norteño,,,,,,,
,Otras Músicas para Fiestas,,,,,,,
,Tocadas y Gigs,,,,,,,
Música y Equipo,Accesorios Musicales,,,,,,,
,Acoustic Keyboards,,,,,,,
,Clases de Música,,,,,,,
,DJ Equipment,,,,,,,
,Drums and Percussion,,,,,,,
,Electric Keyboards,,,,,,,
,Guitarras Acústicas,,,,,,,
,Guitarras Eléctricas,,,,,,,
,MIDI Instruments,,,,,,,
,Music Studio Services,,,,,,,
,Musicians Seeking Bands,,,,,,,
,Musicians Wanted,,,,,,,
,P.A.s and Amps,,,,,,,
,Profesional Sound and Stage Equipment,,,,,,,
,String Instruments,,,,,,,
,Wind and Brass,,,,,,,
,Compra Venta de Negocios,,,,,,,
Oportunidad de Negocios,Inversiones y Socios,,,,,,,
,Maquinaria y Equipos,,,,,,,
,Servicios para Negocios,,,,,,,
,Crowdsourcing,,,,,,,
,Masajes,,,,,,,
Para Adultos,Solo Para Adultos,,,,,,,
,Estéreos y Sonido,,,,,,,
Partes y Accesorios de Autos,Motores y Transmisiones,,,,,,,
,Otras Partes y Accesorios,,,,,,,
,Partes Exteriores,,,,,,,
,Partes Interiores,,,,,,,
,Rines y Llantas,,,,,,,
,Suspenciones y Frenos,,,,,,,
,Vidrios para Carros,,,,,,,
,Hombre Busca Mujer,,,,,,,
Personales,Mujer Busca Hombre,,,,,,,
,Hombre Busca Hombre,,,,,,,
,Mujer Busca Mujer,,,,,,,
,Préstamos para Autos,,,,,,,
Préstamos,Préstamos para Casas,,,,,,,
,Préstamos para Educación,,,,,,,
,Préstamos para Negocios,,,,,,,
,Préstamos Personales,,,,,,,
,Refinanciamientos,,,,,,,
,Consolidación de Deudas,,,,,,,
,Modificación de Préstamos,,,,,,,
,Argentina,,,,,,,
Propiedades Otros Países,Ecuador,,,,,,,
,Europa,,,,,,,
,México,,,,,,,
,Perú,,,,,,,
,Otros Países,,,,,,,
,Costa Rica,,,,,,,
,El Salvador,,,,,,,
,Guatemala,,,,,,,
,Honduras,,,,,,,
,Nicaragua,,,,,,,
,Panamá,,,,,,,
,Edificios,,,,,,,
Rentas,Cuartos,,,,,,,
,Casas,,,,,,,
,Apartamentos,,,,,,,
,Casas Móviles,,,,,,,
,Compartir Cuartos,,,,,,,
,Townhouse-Condominios,,,,,,,
,Busco Rentar,,,,,,,
,Otros Servicios de Salud,,,,,,,
Salud,Acupuntura,,,,,,,
,Clínicas Médicas,,,,,,,
,Doctores en General,,,,,,,
,Farmacias,,,,,,,
,Fertilidad,,,,,,,
,Gimnasios,,,,,,,
,Hipnoterapia,,,,,,,
,Nutricionistas,,,,,,,
,Quiropráctico,,,,,,,
,Sobadores y Masajistas,,,,,,,
,Podiatra,,,,,,,
,Productos Naturales,,,,,,,
,Psicólogo,,,,,,,
,Optometrista,,,,,,,
,Seguros de Auto,,,,,,,
Seguros,Seguros de Animales,,,,,,,
,Seguros de Casa,,,,,,,
,Seguros de Motocicleta,,,,,,,
,Seguros de Rentas,,,,,,,
,Seguros de Salud,,,,,,,
,Seguros de Vida,,,,,,,
,Seguro Dental,,,,,,,
,Seguro de Vision,,,,,,,
,Seguros de Camiones,,,,,,,
,Autos Para Junk,,,,,,,
Servicio Automotriz,Mufflers y Radiadores,,,,,,,
,Reparación de Autos,,,,,,,
,Pintura y Body Shop,,,,,,,
,Transmisiones,,,,,,,
,Otros Servicios Automotrices,,,,,,,
,Car Wash,,,,,,,
,Grúas de Auto,,,,,,,
,Legalización de Autos a México,,,,,,,
,Reparación de Camiones,,,,,,,
,Servicios del DMV,,,,,,,
,Cambio de Aceite,,,,,,,
,Inspeccion de Smog,,,,,,,
,Shuttles y Taxis,,,,,,,
Servicios de Transportes,Envíos,,,,,,,
,Troqueros Independientes,,,,,,,
,Otros Servicios de Transporte,,,,,,,
,Alfombras y Pisos: Venta e Instalación,,,,,,,
,Carpintería y Gabinetes,,,,,,,
,Construccion y Remodelaciones,,,,,,,
,Electricidad,,,,,,,
,Herrería,,,,,,,
,Jardinería,,,,,,,
,Mudanzas,,,,,,,
,Plomería,,,,,,,
,Reparaciones en General,,,,,,,
,Otros Servicios del Hogar,,,,,,,
,Techos,,,,,,,
,Fumigación,,,,,,,
,Aire Acondicionado,,,,,,,
,Diseño de Interiores,,,,,,,
,Garage Doors,,,,,,,
,Pintura,,,,,,,
,Servicios de Limpieza,,,,,,,
,Ventanas y Puertas,,,,,,,
,"Alfombras , Pisos y Cortinas: Limipieza",,,,,,,
,Limpieza de Albercas,,,,,,,
,Ataúdes,,,,,,,
Servicios Funerarios,Cementerios,,,,,,,
,Cremación,,,,,,,
,Funerarias,,,,,,,
,Lápidas,,,,,,,
,Lotes de Cementerio,,,,,,,
,Planificación Funeraria,,,,,,,
,Traslados,,,,,,,
,Urnas,,,,,,,
,Otros Servicios Funerarios,,,,,,,
,Misceláneos,,,,,,,
Servicios Generales,Servicios Comunitarios,,,,,,,
,Otros Servicios Generales,,,,,,,
,Guarderías,,,,,,,
,Envíos de Dinero,,,,,,,
,Letreros e Impresión,,,,,,,
,Cerrajeros,,,,,,,
,Cuidado de Ancianos,,,,,,,
,Lavanderia,,,,,,,
,Centros de reciclaje,,,,,,,
,Abogados de Accidentes,,,,,,,
Servicios Legales e Inmigración,Abogados de Casos Criminales,,,,,,,
,Abogados de Casos Familiares,,,,,,,
,Abogados de Inmigración,,,,,,,
,Adopciones y Familias de Acogida,,,,,,,
,Bancarrota,,,,,,,
,Desalojos,,,,,,,
,Divorcios,,,,,,,
,Fianzas,,,,,,,
,Matrimonios,,,,,,,
,Paralegales,,,,,,,
,Servicios de Huellas Dactilares,,,,,,,
,Servicios de Inmigración,,,,,,,
,Abogado para Inquilinos,,,,,,,
,Otros Servicios Legales e Inmigración,,,,,,,
,Abogado de Casos Civiles,,,,,,,
,Abogados de Social Security y Disablity,,,,,,,
,Directorio de Consulados,,,,,,,
Servicios Profesionales,Investigaciones Privados,,,,,,,
,Notary Public,,,,,,,
,Income Tax,,,,,,,
,Contabilidad,,,,,,,
,Planificación Financiera,,,,,,,
,Teléfonos,,,,,,,
Telecom y Equipo Digital,Satélite y Cable,,,,,,,
,Celulares,,,,,,,
,Computadoras,,,,,,,
,Diseño Web,,,,,,,
,Reparaciones de Teléfono y Computadoras,,,,,,,
,Servicio de Internet,,,,,,,
,Sistemas de Seguridad,,,,,,,
,Bares y Clubes,,,,,,,
Tiempo Libre,Cines,,,,,,,
,Clubes Sociales y Culturales,,,,,,,
,Museos,,,,,,,
,Parques de Atracciones,,,,,,,
,Restaurantes,,,,,,,
,Casinos,,,,,,,
,Agencias de Viajes,,,,,,,
Viajes y Vacaciones,Cruceros,,,,,,,
,Hoteles y Resorts,,,,,,,
,Intercambios y Rentas Vacionales,,,,,,,
,Las Vegas,,,,,,,
,Ofertas de Vuelos,,,,,,,
,Paquetes Especiales de Viaje,,,,,,,
,Renta de Autos,,,,,,,
,Tours y Destinos,,,,,,,
,Transportes y Excursiones,,,,,,,
,Viajes a México,,,,,,,